name,microseconds
8_14,208.526000
8_14_null_2,182.193000
8_14_null_10,216.643000
8_14_null_100,211.754000
2_8,207.838000
8_14,208.602000
8_14_null_2,182.169000
8_14_null_10,216.796000
8_14_null_100,211.750000
2_8,208.008000
8_14,208.559000
8_14_null_2,182.067000
8_14_null_10,216.744000
8_14_null_100,211.701000
2_8,208.629000
8_14,208.505000
8_14_null_2,182.020000
8_14_null_10,217.518000
8_14_null_100,211.679000
2_8,208.707000
8_14,208.492000
8_14_null_2,182.044000
8_14_null_10,216.807000
8_14_null_100,211.652000
2_8,208.718000
8_14,208.477000
8_14_null_2,182.183000
8_14_null_10,216.641000
8_14_null_100,211.621000
2_8,208.690000
8_14,208.446000
8_14_null_2,182.060000
8_14_null_10,216.805000
8_14_null_100,211.703000
2_8,208.857000
8_14,208.424000
8_14_null_2,181.924000
8_14_null_10,216.369000
8_14_null_100,211.689000
2_8,208.594000
8_14,208.386000
8_14_null_2,182.082000
8_14_null_10,217.151000
8_14_null_100,211.524000
2_8,208.486000
8_14,208.457000
8_14_null_2,182.079000
8_14_null_10,216.833000
8_14_null_100,211.562000
2_8,208.525000
8_14,208.319000
8_14_null_2,182.005000
8_14_null_10,216.942000
8_14_null_100,211.501000
2_8,208.156000
8_14,208.458000
8_14_null_2,180.303000
8_14_null_10,216.631000
8_14_null_100,211.704000
2_8,208.651000
8_14,208.071000
8_14_null_2,180.644000
8_14_null_10,216.713000
8_14_null_100,211.626000
2_8,208.437000
8_14,208.353000
8_14_null_2,182.071000
8_14_null_10,216.743000
8_14_null_100,211.362000
2_8,208.673000
8_14,208.412000
8_14_null_2,182.118000
8_14_null_10,216.715000
8_14_null_100,211.524000
2_8,208.381000
8_14,208.411000
8_14_null_2,182.065000
8_14_null_10,216.408000
8_14_null_100,211.350000
2_8,208.529000
8_14,208.394000
8_14_null_2,182.054000
8_14_null_10,216.536000
8_14_null_100,211.707000
2_8,209.294000
8_14,208.382000
8_14_null_2,182.040000
8_14_null_10,216.499000
8_14_null_100,211.789000
2_8,208.355000
8_14,208.533000
8_14_null_2,181.928000
8_14_null_10,216.659000
8_14_null_100,211.852000
2_8,208.419000
8_14,207.951000
8_14_null_2,181.989000
8_14_null_10,216.982000
8_14_null_100,211.756000
2_8,208.144000
8_14,208.753000
8_14_null_2,182.007000
8_14_null_10,216.380000
8_14_null_100,211.675000
2_8,208.096000
8_14,208.403000
8_14_null_2,182.008000
8_14_null_10,216.850000
8_14_null_100,211.720000
2_8,208.400000
8_14,208.395000
8_14_null_2,181.958000
8_14_null_10,216.943000
8_14_null_100,211.433000
2_8,208.413000
8_14,208.334000
8_14_null_2,181.967000
8_14_null_10,216.590000
8_14_null_100,211.364000
2_8,208.543000
8_14,208.435000
8_14_null_2,182.017000
8_14_null_10,217.146000
8_14_null_100,211.317000
2_8,208.337000
8_14,208.306000
8_14_null_2,181.953000
8_14_null_10,216.756000
8_14_null_100,211.211000
2_8,208.532000
8_14,208.335000
8_14_null_2,182.029000
8_14_null_10,216.731000
8_14_null_100,211.679000
2_8,208.483000
8_14,208.310000
8_14_null_2,182.123000
8_14_null_10,216.773000
8_14_null_100,211.569000
2_8,208.613000
8_14,208.270000
8_14_null_2,182.093000
8_14_null_10,216.855000
8_14_null_100,211.554000
2_8,208.404000
8_14,208.401000
8_14_null_2,182.142000
8_14_null_10,216.732000
8_14_null_100,211.728000
2_8,208.633000
8_14,207.982000
8_14_null_2,182.416000
8_14_null_10,216.684000
8_14_null_100,211.649000
2_8,208.490000
8_14,208.339000
8_14_null_2,181.332000
8_14_null_10,216.706000
8_14_null_100,211.752000
2_8,208.247000
8_14,208.353000
8_14_null_2,182.120000
8_14_null_10,217.433000
8_14_null_100,212.122000
2_8,208.084000
8_14,208.615000
8_14_null_2,182.101000
8_14_null_10,231.005000
8_14_null_100,228.407000
2_8,231.081000
8_14,210.975000
8_14_null_2,182.031000
8_14_null_10,216.742000
8_14_null_100,211.759000
2_8,208.581000
8_14,208.380000
8_14_null_2,184.237000
8_14_null_10,230.280000
8_14_null_100,211.690000
2_8,208.317000
8_14,219.139000
8_14_null_2,185.774000
8_14_null_10,216.730000
8_14_null_100,211.695000
2_8,208.597000
8_14,208.419000
8_14_null_2,182.024000
8_14_null_10,216.873000
8_14_null_100,211.546000
2_8,208.517000
8_14,208.383000
8_14_null_2,182.085000
8_14_null_10,216.948000
8_14_null_100,211.555000
2_8,208.616000
8_14,208.356000
8_14_null_2,182.000000
8_14_null_10,217.708000
8_14_null_100,211.598000
2_8,208.623000
8_14,208.448000
8_14_null_2,182.089000
8_14_null_10,216.819000
8_14_null_100,211.763000
2_8,208.314000
8_14,208.415000
8_14_null_2,182.028000
8_14_null_10,216.894000
8_14_null_100,211.315000
2_8,208.213000
8_14,208.365000
8_14_null_2,182.066000
8_14_null_10,218.543000
8_14_null_100,211.694000
2_8,208.506000
8_14,208.408000
8_14_null_2,181.993000
8_14_null_10,218.933000
8_14_null_100,211.816000
2_8,208.074000
8_14,208.495000
8_14_null_2,181.546000
8_14_null_10,216.743000
8_14_null_100,211.743000
2_8,208.507000
8_14,208.298000
8_14_null_2,182.222000
8_14_null_10,216.511000
8_14_null_100,211.724000
2_8,208.400000
8_14,208.397000
8_14_null_2,182.197000
8_14_null_10,216.597000
8_14_null_100,211.847000
2_8,209.069000
8_14,208.568000
8_14_null_2,181.936000
8_14_null_10,217.091000
8_14_null_100,211.886000
2_8,208.329000
8_14,208.336000
8_14_null_2,181.956000
8_14_null_10,216.579000
8_14_null_100,211.235000
2_8,208.230000
8_14,208.427000
8_14_null_2,182.218000
8_14_null_10,217.483000
8_14_null_100,211.792000
2_8,209.181000
8_14,208.690000
8_14_null_2,182.009000
8_14_null_10,216.727000
8_14_null_100,211.631000
2_8,208.361000
8_14,208.448000
8_14_null_2,181.952000
8_14_null_10,216.704000
8_14_null_100,211.697000
2_8,208.494000
8_14,208.399000
8_14_null_2,181.977000
8_14_null_10,216.760000
8_14_null_100,211.668000
2_8,208.660000
8_14,208.408000
8_14_null_2,182.025000
8_14_null_10,216.846000
8_14_null_100,211.653000
2_8,208.514000
8_14,208.190000
8_14_null_2,181.953000
8_14_null_10,216.823000
8_14_null_100,211.575000
2_8,208.533000
8_14,208.279000
8_14_null_2,181.979000
8_14_null_10,216.761000
8_14_null_100,211.566000
2_8,208.166000
8_14,208.442000
8_14_null_2,182.003000
8_14_null_10,216.851000
8_14_null_100,211.749000
2_8,208.151000
8_14,208.216000
8_14_null_2,182.078000
8_14_null_10,216.851000
8_14_null_100,211.745000
2_8,208.493000
8_14,208.400000
8_14_null_2,182.141000
8_14_null_10,216.852000
8_14_null_100,211.595000
2_8,208.168000
8_14,208.405000
8_14_null_2,182.079000
8_14_null_10,216.824000
8_14_null_100,211.632000
2_8,208.248000
8_14,208.357000
8_14_null_2,182.117000
8_14_null_10,216.828000
8_14_null_100,211.598000
2_8,208.242000
8_14,208.583000
8_14_null_2,182.173000
8_14_null_10,216.713000
8_14_null_100,211.697000
2_8,208.180000
8_14,208.413000
8_14_null_2,182.372000
8_14_null_10,216.769000
8_14_null_100,211.583000
2_8,208.228000
8_14,208.474000
8_14_null_2,182.184000
8_14_null_10,216.913000
8_14_null_100,211.733000
2_8,208.587000
8_14,208.158000
8_14_null_2,182.130000
8_14_null_10,216.889000
8_14_null_100,211.763000
2_8,208.215000
8_14,208.434000
8_14_null_2,182.627000
8_14_null_10,216.737000
8_14_null_100,211.737000
2_8,209.325000
8_14,208.455000
8_14_null_2,182.020000
8_14_null_10,216.618000
8_14_null_100,211.741000
2_8,208.484000
8_14,208.436000
8_14_null_2,182.084000
8_14_null_10,217.292000
8_14_null_100,211.362000
2_8,208.568000
8_14,208.501000
8_14_null_2,182.018000
8_14_null_10,216.675000
8_14_null_100,211.645000
2_8,208.529000
8_14,208.645000
8_14_null_2,182.044000
8_14_null_10,216.841000
8_14_null_100,211.184000
2_8,208.560000
8_14,208.440000
8_14_null_2,181.992000
8_14_null_10,216.673000
8_14_null_100,211.163000
2_8,208.603000
8_14,208.323000
8_14_null_2,182.028000
8_14_null_10,217.373000
8_14_null_100,211.510000
2_8,208.526000
8_14,208.432000
8_14_null_2,181.978000
8_14_null_10,216.666000
8_14_null_100,211.291000
2_8,208.801000
8_14,208.463000
8_14_null_2,181.941000
8_14_null_10,216.742000
8_14_null_100,211.559000
2_8,208.510000
8_14,208.335000
8_14_null_2,182.102000
8_14_null_10,216.739000
8_14_null_100,211.700000
2_8,208.562000
8_14,208.383000
8_14_null_2,182.039000
8_14_null_10,216.874000
8_14_null_100,211.721000
2_8,208.261000
8_14,208.377000
8_14_null_2,181.910000
8_14_null_10,216.838000
8_14_null_100,211.392000
2_8,208.083000
8_14,208.425000
8_14_null_2,181.767000
8_14_null_10,216.522000
8_14_null_100,211.771000
2_8,208.571000
8_14,208.356000
8_14_null_2,182.007000
8_14_null_10,216.952000
8_14_null_100,211.795000
2_8,208.544000
8_14,208.392000
8_14_null_2,181.975000
8_14_null_10,216.762000
8_14_null_100,211.843000
2_8,208.473000
8_14,208.344000
8_14_null_2,182.141000
8_14_null_10,216.811000
8_14_null_100,211.442000
2_8,208.632000
8_14,208.170000
8_14_null_2,182.224000
8_14_null_10,216.788000
8_14_null_100,211.821000
2_8,208.183000
8_14,208.510000
8_14_null_2,182.024000
8_14_null_10,216.540000
8_14_null_100,211.400000
2_8,209.145000
8_14,208.404000
8_14_null_2,181.934000
8_14_null_10,216.892000
8_14_null_100,211.719000
2_8,208.675000
8_14,208.397000
8_14_null_2,181.941000
8_14_null_10,216.693000
